关注要素层次,下一低分析层次,上一高层次功能及要求,功能,下一低层次功能,故障影响,严重度(S),故障模式,故障起因,发生度(O),探测度(D),预防控制措施,探测控制措施,source
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,"1) Flooded bilge tank beyond secondary bilge capabilities
2) water fills up bilge pipes to main bearings
3) seals in bearings keep water from entering PTO space",1,Catastrophic leak greater than secondary bilge can handle,Deformation of shaft,3,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,No seals availble for installation,1,Quality control: Failure to manufacture to acceptable level of tolerance and/or inability to manufacture seals,Manufacturing defect,10,2,V&V of assembly,,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,1) Flooded bilge tank within primary bilge capabilities,1,Moderate Leak,Contamination,6,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,1) Flooded bilge tank within primary bilge capabilities,1,Moderate Leak,Manufacturing defect,4,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,1) Flooded bilge tank within primary bilge capabilities,1,Moderate Leak,Over pressurization,5,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,1) Flooded bilge tank within primary bilge capabilities,1,Moderate Leak,Material degradation,5,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,1) Flooded bilge tank within primary bilge capabilities,1,Moderate Leak,Deformation of shaft,5,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",1,Large leak,Wear/fatigue,6,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",1,Large leak,Contamination,5,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
PTO,Shaft Seals,满足系统持续运行要求,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",1,Large leak,Manufacturing defect,3,2,none,level sensors；dry dock repair of seal,StingRAY/SR-RR-0200 PTO PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9",1,Failed multiple (x) MoMos,Corrosion induced failure short circuit,7,2,1) Visual inspection,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9",1,Failed multiple (x) MoMos,Improper installation or manufacturing defect results in failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9",1,Failed multiple (x) MoMos,Vibration and/or motion induced failure,6,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9",1,Failed multiple (x) MoMos,"Water induced failure 
(non-corrosion)",6,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9",1,Failed multiple (x) MoMos in enclosure due to enclosure short,Electrical short (no water or corrosion),5,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9",1,Failed single MoMo,Corrosion induced failure short circuit,7,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9",1,Failed single MoMo,Improper installation or manufacturing defect results in failure,6,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9",1,Failed single MoMo,Vibration and/or motion induced failure,7,2,1) Visual inspection,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Motor Modules (MoMo),满足系统持续运行要求,Control and synchronize a group of stator segments,,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9",1,Failed single MoMo,"Water induced failure 
(non-corrosion)",7,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Short DC bus,Corrosion induced failure short circuit,7,2,1) Visual inspection,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Short DC bus,Improper installation or manufacturing defect results in failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Short DC bus,Vibration and/or motion induced failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Short DC bus,"Water induced failure 
(non-corrosion)",7,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Open DC bus,Corrosion induced failure short circuit,7,2,1) Visual inspection,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Open DC bus,Improper installation or manufacturing defect results in failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Open DC bus,Vibration and/or motion induced failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Short DC bus,Corrosion induced failure short circuit,5,2,1) Visual inspection,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,DC Bus,满足系统持续运行要求,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",1,Short DC bus,Improper installation or manufacturing defect results in failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Energy Storage,满足系统持续运行要求,"Power smoothing
Stores and provides energy to the ALM",,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit",1,Faulted Energy Storage,Corrosion induced failure short/open circuit,7,2,1) Visual inspection,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Energy Storage,满足系统持续运行要求,"Power smoothing
Stores and provides energy to the ALM",,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit",1,Faulted Energy Storage,Improper installation or manufacturing defect results in failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Energy Storage,满足系统持续运行要求,"Power smoothing
Stores and provides energy to the ALM",,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit",1,Faulted Energy Storage,Vibration and/or motion induced failure,6,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Energy Storage,满足系统持续运行要求,"Power smoothing
Stores and provides energy to the ALM",,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit",1,Faulted Energy Storage,"Water induced failure 
(non-corrosion)",4,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Energy Storage,满足系统持续运行要求,"Power smoothing
Stores and provides energy to the ALM",,"1) Electrically isolate enclosures with smoke/fire
2) Automatic fire suppression activated in enclosure by presence of fire/heat
3) Loss of power smoothing capability
4) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
5) Reduced damping due to power limit",1,Fire/smoke,Electrical short fault leads to smoke/fire,7,2,"1) Safety & Emergency systems smoke alarm - isolate before fire breaks out
2) SCADA diagnostics 
3) Surveillance - visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair  - dry dock repair is damage is extensive,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,ALM+AIM grid interface,满足系统持续运行要求,Controls level and quality of power delivered to the grid,,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate",1,Failed ALM+AIM grid interface,Corrosion induced failure short circuit,7,2,1) Visual inspection,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,ALM+AIM grid interface,满足系统持续运行要求,Controls level and quality of power delivered to the grid,,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate",1,Failed ALM+AIM grid interface,Improper installation or manufacturing defect results in failure,5,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,ALM+AIM grid interface,满足系统持续运行要求,Controls level and quality of power delivered to the grid,,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate",1,Failed ALM+AIM grid interface,Vibration and/or motion induced failure,6,2,none,SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,ALM+AIM grid interface,满足系统持续运行要求,Controls level and quality of power delivered to the grid,,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate",1,Failed ALM+AIM grid interface,"Water induced failure 
(non-corrosion)",6,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Manual in-situ inspection and repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,"ALM+AIM grid interface
Enclosure",满足系统持续运行要求,Controls level and quality of power delivered to the grid,,"1) Electrically isolate enclosures with smoke/fire
2) Automatic fire suppression activated in enclosure by presence of fire/heat
3) Loss of power generation
4) Adverse effect in heavy wave climate",1,Fire/smoke,Electrical short fault leads to smoke/fire,5,2,"1) Safety & Emergency systems smoke alarm - isolate before fire breaks out
2) SCADA diagnostics 
3) Surveillance  - visual inspection","1) Enclosure fire alarm
2) Enclosure temperature
3) Visible and IR camera；Dry dock repair",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,MV Transformer,满足系统持续运行要求,Transforms AC power from 480V to 11.5kV for utility grid connection,,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping",1,Failed MV Transformer,Corrosion induced failure short circuit,6,2,1) Visual inspection,SCADA Diagnostics；Dry dock repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,MV Transformer,满足系统持续运行要求,Transforms AC power from 480V to 11.5kV for utility grid connection,,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping",1,Failed MV Transformer,Improper installation or manufacturing defect results in failure,4,2,none,SCADA Diagnostics；Dry dock repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,MV Transformer,满足系统持续运行要求,Transforms AC power from 480V to 11.5kV for utility grid connection,,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping",1,Failed MV Transformer,Vibration and/or motion induced failure,4,2,none,SCADA Diagnostics；Dry dock repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,MV Transformer,满足系统持续运行要求,Transforms AC power from 480V to 11.5kV for utility grid connection,,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping",1,Failed MV Transformer,Water induced failure (non-corrosion),4,2,"1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics；Dry dock repair,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,MV Transformer Enclosure,满足系统持续运行要求,Transforms AC power from 480V to 11.5kV for utility grid connection,,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping
6) Automatic fire extinguisher",1,Fire/smoke,Electrical short (no water or corrosion),4,2,1) Fire/smoke alarm,"1) Enclosure fire alarm
2) Enclosure temperature
3) Visible and IR camera；Dry dock repair",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Umbilical Cable Connection (All MV equipment),满足系统持续运行要求,Medium voltage (11.5kV) connection from transformer to umbilical cable.,,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping",1,Fault - short circuit,Corrosion induced failure short circuit,6,2,1) Visual inspection,"1) Grid connection breaker over-circuit trip
2) SCADA diagnostics；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Umbilical Cable Connection (All MV equipment),满足系统持续运行要求,Medium voltage (11.5kV) connection from transformer to umbilical cable.,,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping",1,Fault - short circuit,Improper installation or manufacturing defect results in failure,5,2,1) V&V (QC) during manufacturing and assembly,"1) Grid connection breaker over-circuit trip
2) SCADA diagnostics；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Umbilical Cable Connection (All MV equipment),满足系统持续运行要求,Medium voltage (11.5kV) connection from transformer to umbilical cable.,,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping",1,Fault - short circuit,Vibration and/or motion induced failure,5,2,1) Visual inspection,"1) Grid connection breaker over-circuit trip
2) SCADA diagnostics；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Umbilical Cable Connection (All MV equipment),满足系统持续运行要求,Medium voltage (11.5kV) connection from transformer to umbilical cable.,,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping",1,Fault - short circuit,Water induced failure (non-corrosion),6,2,1) Visual inspection,"1) Grid connection breaker over-circuit trip
2) SCADA diagnostics；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Umbilical Cable Connection (All MV equipment),满足系统持续运行要求,Medium voltage (11.5kV) connection from transformer to umbilical cable.,,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping
8)Automatic fire extinguisher",1,Fire/smoke,Electrical short (no water or corrosion),4,2,1) Visual inspections,"1) Enclosure fire alarm
2) Enclosure temperature
3) Visible and IR camera；Dry dock repair - pending investigation by service vessel.",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Emergency Resistor,满足系统持续运行要求,Load for burning power in case of DC bus overvoltage during a loss of grid,,"1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed",1,"Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit",Corrosion induced failure short circuit,7,2,1) Visual inspection,"1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Emergency Resistor,满足系统持续运行要求,Load for burning power in case of DC bus overvoltage during a loss of grid,,"1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed",1,"Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit",Improper installation or manufacturing defect results in failure,4,2,1) Visual inspection,"1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Emergency Resistor,满足系统持续运行要求,Load for burning power in case of DC bus overvoltage during a loss of grid,,"1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed",1,"Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit",Vibration and/or motion induced failure,4,2,1) Visual inspection,"1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Emergency Resistor,满足系统持续运行要求,Load for burning power in case of DC bus overvoltage during a loss of grid,,"1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed",1,"Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit",Water induced failure (non-corrosion),4,2,1) Visual inspection,"1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Emergency Resistor,满足系统持续运行要求,Load for burning power in case of DC bus overvoltage during a loss of grid,,"1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed",1,"Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit",Electrical short (no water or corrosion),3,2,"1) Fire/smoke alarm
2) High temperature alarm on emergency resistors","1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage；Manual in-situ repair and inspection",StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,"Switch Gear - MV breaker, transformer",满足系统持续运行要求,Make/Break MV connection to grid,,"1) loss of grid connection
2) Reduction in power production to station power level
3) Islanding mode
4) Significant reduction in damping",1,Fault - open circuit,Electrical fault,5,2,none,1) SCADA Diagnostics；Manual in-situ repair and inspection,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,"Switch Gear - LV breaker, transformer",满足系统持续运行要求,Make/Break 480vac connection to electric plant,,"1) loss of grid connection
2) Reduction in power production to station power level
3) Islanding mode
4) Significant reduction in damping",1,Fault - open circuit,Electrical short,5,2,none,1) SCADA Diagnostics；Manual in-situ repair and inspection,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Switch Gear - Fwd /Aft ALM breaker,满足系统持续运行要求,Make/Break fwd ALM 480vac connection to transformer,,1) Reduction in peak power to grid limit,1,Fault - open circuit,Electrical short,5,2,none,1) SCADA Diagnostics；Manual in-situ repair and inspection,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,Switch Gear - DC cross-connection breaker 1,满足系统持续运行要求,Make/Break DC bus cross connection,,1) Change in operation power flow,1,Fault - open circuit,Electrical short,5,2,none,1) SCADA Diagnostics；Manual in-situ repair and inspection,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,"Switch Gear - DC energy storage breaker ,  1 & 2",满足系统持续运行要求,Make/Break fwd DC bus to energy storage connection,,"1) Reduction in power smoothing, possible reduction in  power to grid",1,Fault - open circuit,Electrical short,5,2,none,1) SCADA Diagnostics；Manual in-situ repair and inspection,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
Electric Plant,"Switch Gear - DC energy storage breaker ,  1 & 2",满足系统持续运行要求,Make/Break fwd DC bus to energy storage connection,,"1) Loss of all power smoothing
2) Reduction is power to grid
3) Reduced damping or active power burn",1,"Fault - open circuit, both energy storage system breakers open",Electrical short,5,2,none,1) SCADA Diagnostics；Manual in-situ repair and inspection,StingRAY/SR-RR-0300 Electric Plant PD v3.0 07-25-2016.xlsx
